city,country,lat,lon,temp,humidity,cloudiness,wind speed
Rikitea,PF,-23.12,-134.97,72.5,74,7,15.68
Cairns,AU,-16.92,145.77,74.59,83,75,8.05
New Norfolk,AU,-42.78,147.06,39.47,72,0,1.39
Ossora,RU,59.24,163.07,37.54,79,100,4.72
Lavrentiya,RU,65.58,-171.0,28.87,93,50,5.61
Bethel,US,41.37,-73.41,53.31,93,90,9.17
Río Gallegos,AR,-51.62,-69.22,60.8,23,75,26.4
Ponta do Sol,PT,32.67,-17.1,73.62,64,40,19.46
Adiaké,CI,5.29,-3.3,84.2,79,40,14.99
Busselton,AU,-33.65,115.33,59.41,76,45,10.54
Chase,CA,50.82,-119.69,39.99,97,100,5.01
Kochi,IN,9.94,76.26,80.6,88,40,3.36
Santa Fe,AR,-31.63,-60.7,80.4,23,0,4.0
Vitim,RU,59.45,112.56,27.59,84,100,9.13
Upernavik,GL,72.79,-56.15,25.47,95,0,12.77
Ushuaia,AR,-54.8,-68.3,50.0,29,40,17.22
Naze,JP,28.37,129.48,77.0,69,40,10.29
Flinders,AU,-34.58,150.86,62.15,77,79,1.99
Kapaa,US,22.08,-159.32,76.8,78,40,11.41
Sobolevo,RU,54.43,31.9,55.63,90,96,7.36
Chokurdakh,RU,70.63,147.92,16.83,94,66,6.87
Tual,ID,-5.67,132.75,81.45,82,91,14.56
Lebu,CL,-37.62,-73.65,55.44,83,16,20.89
Cape Town,ZA,-33.93,18.42,62.55,51,59,24.16
Avarua,CK,-21.21,-159.78,69.8,64,31,9.17
Srīvardhan,IN,18.03,73.02,80.01,83,100,0.25
Aklavik,CA,68.22,-135.01,21.2,73,90,4.7
Huai'an,CN,33.59,119.02,60.55,63,99,5.41
Neiafu,TO,-18.65,-173.98,71.6,88,90,10.29
Rūdbār,AF,30.15,62.6,58.23,31,0,6.6
Carnarvon,AU,-24.87,113.63,68.0,94,40,16.11
Esperance,AU,-33.87,121.9,62.6,63,97,16.11
Biak,ID,-0.91,122.88,77.97,78,60,5.93
Mendoza,AR,-32.89,-68.83,78.8,16,0,6.93
